area,direction,elevator,fitment,name,property,total_price,type,unit_price
81.86平米,南,有,简装,俊景豪园 ,非共有,760,2室2厅,单价92842元/平米
64.21平米,北,有,简装,东方海雅居 ,非共有,570,2室2厅,单价88772元/平米
69.83平米,东南,有,精装,万象新天 ,非共有,600,3室1厅,单价85923元/平米
91.73平米,南,有,简装,万科东方尊峪 ,非共有,550,2室1厅,单价59959元/平米
92.8平米,南,有,简装,鸣泉居 ,非共有,1380,3室2厅,单价148707元/平米
45.06平米,北,有,简装,塘朗雅苑 ,非共有,508,2室1厅,单价112739元/平米
107.95平米,东南,有,简装,金地梅陇镇一期 ,非共有,698,3室2厅,单价64660元/平米
74.74平米,北,有,简装,金运家园 ,共有,320,3室2厅,单价42816元/平米
78.33平米,西,有,简装,平吉上苑 ,非共有,390,3室2厅,单价49790元/平米
127.83平米,南 北,有,毛坯,中粮云景国际 ,非共有,730,4室2厅,单价57108元/平米
88.55平米,南,有,精装,万科第五园九期 ,共有,690,3室1厅,单价77923元/平米
73.77平米,东南,有,精装,鸿荣源尚峰 ,非共有,540,3室1厅,单价73201元/平米
98.99平米,东南 西北,无,精装,雅庭名苑 ,非共有,369,3室1厅,单价37277元/平米
81.78平米,东南,有,精装,珑门二期 ,非共有,445,3室2厅,单价54415元/平米
113.85平米,南 北,有,简装,莱蒙水榭春天三期 ,非共有,1000,4室2厅,单价87835元/平米
99.94平米,东南,有,简装,信义假日名城六期溢芳园 ,非共有,460,3室2厅,单价46028元/平米
88.12平米,东南,有,毛坯,恒裕嘉城 ,共有,325,4室2厅,单价36882元/平米
148.26平米,南,有,精装,阳光四季 ,非共有,1480,4室1厅,单价99825元/平米
87.81平米,西北,有,毛坯,拾悦城 ,非共有,615,3室2厅,单价70038元/平米
83.05平米,西北,无,简装,宝城花园 ,非共有,410,3室1厅,单价49368元/平米
147.09平米,东南,有,精装,天骄世家 ,非共有,799,4室1厅,单价54321元/平米
89.75平米,南,有,精装,卓越皇后道 ,非共有,695,3室2厅,单价77438元/平米
89.17平米,西南,有,精装,信义御城豪园 ,非共有,405,3室1厅,单价45419元/平米
87.81平米,西北,有,毛坯,拾悦城 ,非共有,615,3室2厅,单价70038元/平米
77.69平米,南 北,有,简装,深业御园 ,共有,210,3室1厅,单价27031元/平米
84.09平米,东南,有,精装,华策中心城 ,非共有,380,3室1厅,单价45190元/平米
100.12平米,西北,有,精装,半岛城邦花园一期 ,非共有,1680,3室1厅,单价167799元/平米
83.32平米,南,有,简装,雅福居 ,共有,1450,3室2厅,单价174028元/平米
89.57平米,东南,有,毛坯,鸿荣源·壹成中心第六区 ,非共有,710,4室2厅,单价79268元/平米
66平米,南,无,简装,雅豪祥苑 ,非共有,218,3室1厅,单价33031元/平米
102.94平米,东南,无,简装,尚景华园 ,非共有,409,3室1厅,单价39732元/平米
88.04平米,东南,有,毛坯,颐安都会中央二期 ,非共有,520,3室1厅,单价59065元/平米
65.32平米,东北,有,精装,天朗风清 ,非共有,665,2室2厅,单价101807元/平米
77.92平米,东北,有,简装,海珠城 ,非共有,708,2室1厅,单价90863元/平米
93.55平米,东南,有,毛坯,鸿荣源·尚峻 ,非共有,778,3室2厅,单价83165元/平米
43.93平米,东南,有,精装,嘉年华名苑 ,非共有,345,1室1厅,单价78535元/平米
88.48平米,东南,有,精装,恒大国香山 ,非共有,399,3室1厅,单价45095元/平米
86.41平米,北,有,精装,四季御园 ,非共有,568,3室1厅,单价65734元/平米
163.57平米,南,有,简装,熙龙湾二期 ,非共有,2680,5室2厅,单价163845元/平米
85平米,东 东南 南,有,精装,景鹏大厦 ,非共有,550,3室2厅,单价64706元/平米
94.5平米,东南,暂无数据,简装,21区灵芝新村 ,共有,755,3室2厅,单价79895元/平米
121.03平米,西南,有,精装,京光海景花园 ,非共有,860,3室1厅,单价71057元/平米
219.36平米,南,有,精装,半岛城邦花园一期 ,非共有,3050,5室1厅,单价139041元/平米
100.65平米,南,有,简装,向南西海花园 ,非共有,850,3室2厅,单价84452元/平米
114.11平米,南 西北,有,精装,香诗美林 ,非共有,1150,3室2厅,单价100780元/平米
70.91平米,北,无,简装,桃源村一期 ,共有,520,3室2厅,单价73333元/平米
124.77平米,南 北,有,精装,城市假日花园 ,非共有,1020,3室2厅,单价81751元/平米
83.75平米,东南,有,精装,前海金岸 ,非共有,750,3室2厅,单价89553元/平米
135.41平米,南 北,无,精装,东方花园桂花苑 ,共有,980,4室1厅,单价72373元/平米
139平米,南 北,有,精装,香山美树苑 ,非共有,1900,4室2厅,单价136691元/平米
94.43平米,东南,有,简装,青春家园 ,非共有,999,3室2厅,单价105793元/平米
81.02平米,东南,无,简装,桂园 ,非共有,750,3室1厅,单价92570元/平米
75平米,北,有,精装,厚德品园 ,共有,980,3室2厅,单价130667元/平米
136平米,南 北,有,简装,京光海景花园 ,非共有,915,3室2厅,单价67280元/平米
92.85平米,东北,有,精装,仙桐御景 ,非共有,539,3室2厅,单价58051元/平米
85.23平米,北,有,精装,名骏豪庭 ,非共有,450,3室1厅,单价52799元/平米
74.32平米,南,无,精装,莲塘花园 ,非共有,353,3室2厅,单价47498元/平米
85.85平米,东北,有,精装,福景大厦 ,非共有,710,3室1厅,单价82703元/平米
198.27平米,南 西南,有,精装,新锦安雅园三期 ,非共有,1380,5室2厅,单价69603元/平米
92.99平米,北,有,精装,源兴居 ,非共有,520,3室2厅,单价55920元/平米
86.83平米,西北,有,简装,华润城润府一期 ,非共有,1520,4室1厅,单价175055元/平米
97.49平米,西南,有,精装,云景豪园 ,非共有,490,3室1厅,单价50262元/平米
142.6平米,东南,有,简装,波托菲诺侨香诺园 ,非共有,1650,3室2厅,单价115709元/平米
167.85平米,东南,无,精装,泰华阳光海小区 ,非共有,1400,5室2厅,单价83408元/平米
81.06平米,北,有,简装,桃源村三期 ,共有,665,3室2厅,单价82038元/平米
181.64平米,东南,有,简装,首地容御 ,非共有,1750,4室1厅,单价96345元/平米
90平米,西北,有,精装,东门天下 ,非共有,597.8,3室1厅,单价66423元/平米
118.06平米,东南,有,简装,南粤明珠海洋之心 ,非共有,1420,3室2厅,单价120278元/平米
123.2平米,东,有,精装,东方花园桂花苑 ,非共有,860,3室2厅,单价69806元/平米
71.57平米,北,无,精装,桃源村一期 ,非共有,515,3室2厅,单价71958元/平米
67.18平米,东 北,有,精装,南海大厦 ,非共有,768,3室1厅,单价114320元/平米
144.7平米,南,有,精装,天悦龙庭二期 ,非共有,1528,4室2厅,单价105598元/平米
90.98平米,北,有,精装,桃源村二期 ,共有,650,3室2厅,单价71445元/平米
129.08平米,东南,有,精装,风临左岸 ,共有,1700,4室2厅,单价131702元/平米
88.94平米,南,有,精装,海境界家园一期 ,非共有,1480,4室2厅,单价166405元/平米
175平米,东南,有,精装,三湘海尚花园 ,非共有,2750,5室1厅,单价157143元/平米
101.09平米,西南,有,简装,中海丽苑 ,非共有,800,3室1厅,单价79138元/平米
89.7平米,北,有,精装,宝能城 ,共有,1200,4室2厅,单价133780元/平米
116.89平米,东南,有,精装,锦绣花园一期 ,共有,948,3室2厅,单价81102元/平米
46.37平米,北,有,简装,阳光花园 ,非共有,198,1室1厅,单价42701元/平米
42.47平米,北,有,精装,友谊大厦 ,非共有,210,2室1厅,单价49447元/平米
69.13平米,南,有,精装,金地上塘道二期 ,非共有,506,2室2厅,单价73196元/平米
39.23平米,北,有,精装,锦上花家园 ,非共有,221,1室1厅,单价56335元/平米
141.31平米,南 北,有,精装,塘朗城广场东区 ,非共有,1150,4室2厅,单价81382元/平米
100.53平米,南,有,简装,奥园翡翠东湾 ,非共有,324,3室2厅,单价32230元/平米
74.73平米,北 东北,有,精装,鸿荣源尚峰 ,非共有,521,3室1厅,单价69718元/平米
80.93平米,东南,有,简装,心海城 ,非共有,300,3室2厅,单价37070元/平米
113.84平米,西南,有,简装,第五大道高发西岸花园一期 ,非共有,1390,3室1厅,单价122102元/平米
144.2平米,南,有,精装,奥林华府 ,非共有,895,4室1厅,单价62067元/平米
45.46平米,南,有,精装,阳光里雅居 ,共有,569,2室1厅,单价125165元/平米
76.01平米,东南,有,精装,花语岸 ,非共有,410,3室1厅,单价53941元/平米
99.33平米,南,无,简装,锦绣江南二期 ,非共有,540,3室2厅,单价54365元/平米
88.38平米,东南,有,精装,鸿荣源·壹成中心第六区 ,非共有,720,4室2厅,单价81467元/平米
86.63平米,东南,有,毛坯,拾悦城 ,非共有,580,3室2厅,单价66952元/平米
70.43平米,南,有,简装,星海名城一期一组团 ,共有,660,2室1厅,单价93711元/平米
36.36平米,西北,有,简装,金海岸大厦 ,非共有,375,1室1厅,单价103136元/平米
91.69平米,东北,有,精装,佳兆业可园五期 ,非共有,515,4室2厅,单价56168元/平米
109.55平米,南,有,精装,龙岗天健郡城 ,共有,470,3室2厅,单价42903元/平米
139.73平米,南,有,简装,天地峰景 ,非共有,1130,4室2厅,单价80871元/平米
76.5平米,东 东南,有,简装,福永花苑 ,非共有,380,3室2厅,单价49674元/平米
98.05平米,东南,有,精装,新华苑 ,非共有,570,3室1厅,单价58134元/平米
71.61平米,东南,有,精装,振业城 ,非共有,318,3室1厅,单价44408元/平米
89.52平米,东南,有,精装,中海锦城 ,非共有,800,3室2厅,单价89366元/平米
89.35平米,西南,有,简装,英郡年华 ,非共有,418,3室2厅,单价46783元/平米
40.96平米,东,有,精装,韵动家园 ,非共有,358,1室1厅,单价87403元/平米
57.55平米,东南,有,简装,栖游家园 ,非共有,680,2室1厅,单价118159元/平米
96.42平米,西南,有,简装,阳基阳光城市 ,非共有,738,3室1厅,单价76541元/平米
54.06平米,东南,有,精装,新天地名居 ,非共有,430,2室1厅,单价79542元/平米
88.44平米,南,有,精装,信义嘉御山 ,非共有,719,3室1厅,单价81299元/平米
84.36平米,北 南,有,简装,信义嘉御山 ,非共有,730,3室2厅,单价86534元/平米
46.46平米,东北,有,简装,美丽湾国际公寓 ,共有,475,2室1厅,单价102239元/平米
88.38平米,南 北,有,精装,桂芳园五期 ,非共有,410,3室1厅,单价46391元/平米
60.94平米,东南,有,简装,四海公寓 ,非共有,610,2室2厅,单价100099元/平米
89.46平米,南,有,精装,华业玫瑰四季馨园二期 ,非共有,780,3室2厅,单价87190元/平米
85.34平米,西南,有,简装,佳兆业可园六期 ,非共有,518,3室2厅,单价60699元/平米
89.06平米,南,有,毛坯,京基御景印象一期 ,非共有,380,3室1厅,单价42668元/平米
78.65平米,南 北,无,精装,益田村 ,共有,695,3室1厅,单价88367元/平米
97.74平米,东南,有,精装,鸿荣源·壹城中心第九区 ,非共有,795,4室2厅,单价81339元/平米
104.02平米,东,有,精装,新鸿花园 ,非共有,373,3室1厅,单价35859元/平米
89.57平米,南,有,简装,宇宏健康花城 ,非共有,600,3室2厅,单价66987元/平米
80.8平米,东北,有,精装,中粮一品澜山花园 ,非共有,248,3室2厅,单价30694元/平米
63.19平米,西南,有,精装,兴达华府 ,非共有,450,2室2厅,单价71214元/平米
77.98平米,东北,有,精装,万科第五园八期 ,非共有,495,3室1厅,单价63478元/平米
87.37平米,东北,有,精装,佳兆业上品雅园 ,非共有,720,3室2厅,单价82409元/平米
41.37平米,西,有,精装,南溪新苑 ,非共有,325,1室1厅,单价78560元/平米
88.23平米,东南,有,精装,华润城润府一期 ,共有,1700,3室2厅,单价192679元/平米
107.24平米,西北,有,精装,信义锦绣花园 ,非共有,470,3室2厅,单价43827元/平米
80.38平米,东北,有,精装,碧海名园 ,共有,570,3室2厅,单价70914元/平米
86.37平米,南,有,简装,德意名居一期 ,非共有,870,3室2厅,单价100730元/平米
102.06平米,东 西,有,精装,星海名城三期 ,非共有,960,3室1厅,单价94063元/平米
177.2平米,西南,有,精装,香山美墅三期 ,非共有,2500,4室2厅,单价141084元/平米
81.05平米,北,有,精装,桃源村三期 ,非共有,698,3室1厅,单价86120元/平米
105.26平米,东,有,简装,俊峰丽舍 ,非共有,865,3室1厅,单价82178元/平米
114.11平米,西北 北,有,精装,香诗美林 ,非共有,1150,3室1厅,单价100780元/平米
97.51平米,南,无,精装,怡然天地居 ,非共有,700,3室2厅,单价71788元/平米
110.8平米,东南,有,精装,天地峰景 ,共有,900,3室2厅,单价81228元/平米
76.52平米,南,有,简装,中海西岸华府南区 ,非共有,450,3室2厅,单价58809元/平米
93.22平米,南,有,其他,桃源村二期 ,共有,660,3室2厅,单价70801元/平米
151.61平米,东南,有,精装,香山里 ,非共有,1400,3室1厅,单价92343元/平米
96.05平米,南,有,精装,帝景园 ,共有,1160,3室2厅,单价120771元/平米
93.13平米,西南,有,简装,桃源村二期 ,非共有,600,3室1厅,单价64427元/平米
88.68平米,南,无,简装,宝安山庄 ,非共有,360,3室2厅,单价40596元/平米
85.33平米,西南,有,精装,熙璟城 ,非共有,420,3室2厅,单价49221元/平米
89.17平米,东,有,简装,桃源村三期 ,非共有,735,3室1厅,单价82427元/平米
140.39平米,西南,有,简装,花园城五期 ,共有,1450,4室1厅,单价103284元/平米
193.74平米,南,有,精装,锦绣花园二期 ,非共有,1598,4室2厅,单价82482元/平米
66.51平米,东北,有,其他,英郡年华 ,非共有,348,2室2厅,单价52323元/平米
60.53平米,南,有,其他,紫光名苑 ,非共有,520,2室1厅,单价85908元/平米
87.39平米,南,有,精装,中海康城国际一期 ,非共有,410,3室2厅,单价46917元/平米
56.95平米,北,有,精装,阳光海景豪苑 ,非共有,610,2室2厅,单价107112元/平米
82.49平米,东南,有,精装,鹏达摩尔城 ,非共有,288,2室2厅,单价34914元/平米
97.24平米,东南,有,简装,御景湾 ,非共有,970,3室1厅,单价99754元/平米
68.49平米,南,有,毛坯,华盛西荟城4期 ,非共有,490,2室2厅,单价71544元/平米
112.83平米,东北,有,简装,皇御苑二期 ,非共有,790,3室2厅,单价70017元/平米
88.33平米,东南,有,精装,京基御景印象四期 ,非共有,365,3室2厅,单价41323元/平米
66.03平米,东南,有,精装,南海台大厦 ,非共有,540,2室2厅,单价81782元/平米
92.62平米,南,有,精装,宝能城 ,非共有,1300,4室2厅,单价140359元/平米
38.91平米,北,无,简装,先科花园 ,非共有,283,1室1厅,单价72732元/平米
43.48平米,北,有,简装,润恒大厦 ,非共有,320,1室1厅,单价73598元/平米
139.39平米,西南,有,精装,太古城北 ,非共有,2150,4室1厅,单价154244元/平米
86.18平米,北,有,精装,佳兆业上品雅园 ,非共有,740,3室1厅,单价85867元/平米
201.34平米,南 北,无,毛坯,振业城 ,非共有,1088,5室2厅,单价54038元/平米
137.94平米,西南,有,精装,半岛城邦花园一期 ,非共有,2100,4室2厅,单价152241元/平米
112.48平米,南 北,有,精装,信义御城豪园 ,非共有,485,4室2厅,单价43119元/平米
191.85平米,南,有,精装,百仕达红树西岸 ,共有,3300,3室2厅,单价172010元/平米
106.61平米,南,有,精装,东方明珠城 ,非共有,380,4室1厅,单价35644元/平米
150.29平米,南,无,精装,福园小区 ,非共有,370,4室1厅,单价24620元/平米
26.74平米,东北,有,精装,好来居 ,非共有,320,1室1厅,单价119671元/平米
85.28平米,南,有,其他,嘉霖华禧 ,非共有,520,3室2厅,单价60976元/平米
85.18平米,西北,有,其他,大世纪水山缘 ,共有,360,3室2厅,单价42264元/平米
77.44平米,西南,有,其他,山海津 ,非共有,670,2室1厅,单价86519元/平米
89.27平米,东南,有,精装,华侨城四海云亭 ,非共有,525,3室2厅,单价58811元/平米
89.24平米,西南,有,其他,麟恒中心广场二期 ,非共有,438,3室2厅,单价49082元/平米
46.5平米,西,有,精装,绿景花园二期 ,非共有,445,1室1厅,单价95699元/平米
89.33平米,南,无,其他,金洲嘉丽园 ,共有,470,3室2厅,单价52614元/平米
79.7平米,东 北,有,精装,天骄世家 ,非共有,578,3室1厅,单价72522元/平米
89.17平米,南 北,有,精装,恒大国香山 ,非共有,410,3室2厅,单价45980元/平米
89平米,东南 西南,有,其他,金地鹭湖1号 ,非共有,520,3室2厅,单价58427元/平米
89.27平米,南,有,精装,金地上塘道二期 ,非共有,700,3室1厅,单价78414元/平米
88.52平米,东南,有,精装,天峦湖 ,共有,345,3室2厅,单价38975元/平米
92平米,南,无,其他,新安湖花园 ,非共有,590,3室2厅,单价64131元/平米
44.8平米,北,有,精装,阳光里雅居 ,非共有,560,2室1厅,单价125001元/平米
119.98平米,南 北,有,简装,慢城一期 ,非共有,530,4室2厅,单价44175元/平米
81.3平米,南 西南,有,简装,国展苑 ,非共有,317,2室1厅,单价38992元/平米
72.69平米,南,有,精装,绿景花园二期 ,非共有,690,2室1厅,单价94924元/平米
34.96平米,东,有,精装,万豪御景苑 ,非共有,445,2室1厅,单价127289元/平米
64.7平米,东南,有,精装,现代城华庭 ,非共有,650,2室2厅,单价100464元/平米
49.15平米,东南,无,简装,可乐园 ,非共有,310,2室2厅,单价63073元/平米
167.28平米,东南,有,精装,香山美墅·果岭 ,非共有,2300,4室2厅,单价137495元/平米
60.54平米,东,有,精装,深蓝季节 ,非共有,680,2室1厅,单价112323元/平米
118.67平米,西南,有,简装,冠城世家 ,非共有,1010,3室1厅,单价85110元/平米
85.32平米,东北,有,精装,花语岸 ,非共有,425,3室2厅,单价49813元/平米
87.55平米,东南,无,简装,丽景城 ,非共有,620,3室2厅,单价70817元/平米
92.88平米,南,有,简装,桃源村二期 ,共有,645,3室2厅,单价69445元/平米
71.39平米,西南,有,精装,山海津 ,共有,665,2室1厅,单价93151元/平米
134.8平米,西南,有,毛坯,深业新岸线二期 ,非共有,1450,4室2厅,单价107567元/平米
87.42平米,北,有,精装,塘朗雅苑 ,共有,880,3室2厅,单价100664元/平米
93.22平米,东南,有,精装,桃源村二期 ,共有,660,3室2厅,单价70801元/平米
93平米,南,有,简装,花园城三期 ,非共有,1020,3室1厅,单价109678元/平米
100.78平米,西南,有,精装,圣淘沙骏园 ,非共有,1020,4室2厅,单价101211元/平米
174.43平米,西南,有,精装,十五峯花园 ,共有,1400,4室2厅,单价80262元/平米
79.48平米,东南,有,简装,祥云天都世纪大厦 ,非共有,560,3室2厅,单价70458元/平米
119.86平米,南,有,毛坯,颐安都会中央二期 ,非共有,740,4室2厅,单价61739元/平米
89.48平米,东南,有,精装,信义金御半山一期 ,非共有,720,4室2厅,单价80465元/平米
145.97平米,东南,有,精装,波托菲诺侨香诺园 ,非共有,1680,5室2厅,单价115093元/平米
