name,type,area,direction,fitment,elevator,total_price,unit_price,property
阳光里雅居 ,2室1厅,44.8,北,精装,有,560,125001,非共有
新安湖花园 ,3室2厅,92,南,其他,无,590,64131,非共有
十五峯花园 ,4室2厅,174.43,西南,精装,有,1400,80262,共有
华润城润府一期 ,3室2厅,88.23,东南,精装,有,1700,192679,共有
德意名居一期 ,3室2厅,86.37,南,简装,有,870,100730,非共有
香山美墅三期 ,4室2厅,177.2,西南,精装,有,2500,141084,非共有
星海名城三期 ,3室1厅,102.06,东 西,精装,有,960,94063,非共有
桃源村三期 ,3室1厅,81.05,北,精装,有,698,86120,非共有
俊峰丽舍 ,3室1厅,105.26,东,简装,有,865,82178,非共有
香诗美林 ,3室1厅,114.11,西北 北,精装,有,1150,100780,非共有
中海西岸华府南区 ,3室2厅,76.52,南,简装,有,450,58809,非共有
怡然天地居 ,3室2厅,97.51,南,精装,无,700,71788,非共有
宝生Midtown ,3室2厅,115.4,东北,精装,有,1520,131716,非共有
桃源村二期 ,3室2厅,93.22,南,其他,有,660,70801,共有
富通天骏 ,3室2厅,90,西北 东南,精装,有,560,62223,非共有
阳光花园 ,3室2厅,109.37,南,精装,有,470,42974,非共有
丰润花园 ,3室1厅,89.92,南,精装,无,405,45041,共有
领航城领秀花园 ,3室2厅,80.37,西南,其他,有,615,76522,非共有
中旅广场 ,2室2厅,75.95,南,精装,无,570,75050,非共有
东翠花园 ,3室1厅,86.56,南 北,简装,无,427,49330,非共有
黄金大厦 ,3室2厅,77.74,西南,精装,有,570,73322,非共有
翠枫豪园 ,3室2厅,102.35,南,精装,有,420,41036,非共有
润科华府 ,3室1厅,88.12,南,精装,有,610,69224,非共有
畔山御景花园 ,2室1厅,63,南,毛坯,有,285,45239,共有
美景大厦 ,2室1厅,52,北,简装,有,287,55193,非共有
鸿荣源·尚峻 ,4室2厅,106.81,东南,精装,有,960,89880,非共有
嘉宾花园 ,4室2厅,130.2,东,精装,有,637,48925,非共有
锦城星苑 ,3室2厅,79.03,东 西,简装,有,260,32899,非共有
阳基阳光城市 ,3室1厅,96.42,南,简装,有,745,77267,非共有
绿景花园二期 ,3室1厅,115.42,东南,精装,有,980,84908,非共有
半山御景 ,3室1厅,83.52,东南,精装,有,810,96983,非共有
泰华大厦 ,3室2厅,112.7,东南,精装,有,525,46584,非共有
佳兆业城市广场一期 ,3室2厅,87.63,南,精装,有,655,74747,非共有
莱蒙水榭春天一期 ,4室2厅,121.22,西南 东北,精装,有,998.9,82404,非共有
星桂园 ,2室1厅,58.24,东南,精装,有,425,72974,非共有
康达尔花园五期蝴蝶堡 ,3室1厅,68.81,南,精装,有,405,58858,共有
旭源瑞景轩 ,3室2厅,86.44,东南,精装,有,335,38756,非共有
73区 ,3室1厅,93.36,南,精装,无,458,49058,非共有
中熙香缇湾 ,3室1厅,81.85,南,精装,有,840,102627,非共有
百仕达红树西岸 ,3室2厅,146.87,西南,精装,有,2375,161708,非共有
鹏达摩尔城 ,2室2厅,82.49,东南,精装,有,288,34914,非共有
振业城 ,3室1厅,71.61,东南,精装,有,318,44408,非共有
中海锦城 ,3室2厅,89.52,东南,精装,有,800,89366,非共有
英郡年华 ,3室2厅,89.35,西南,简装,有,418,46783,非共有
栖游家园 ,2室1厅,57.55,东南,简装,有,680,118159,非共有
阳基阳光城市 ,3室1厅,96.42,西南,简装,有,738,76541,非共有
韵动家园 ,1室1厅,40.96,东,精装,有,358,87403,非共有
新天地名居 ,2室1厅,54.06,东南,精装,有,430,79542,非共有
信义嘉御山 ,3室2厅,84.36,北 南,简装,有,730,86534,非共有
信义嘉御山 ,3室1厅,88.44,南,精装,有,719,81299,非共有
桂芳园五期 ,3室1厅,88.38,南 北,精装,有,410,46391,非共有
美丽湾国际公寓 ,2室1厅,46.46,东北,简装,有,475,102239,共有
四海公寓 ,2室2厅,60.94,东南,简装,有,610,100099,非共有
佳兆业可园六期 ,3室2厅,85.34,西南,简装,有,518,60699,非共有
华业玫瑰四季馨园二期 ,3室2厅,89.46,南,精装,有,780,87190,非共有
京基御景印象一期 ,3室1厅,89.06,南,毛坯,有,380,42668,非共有
鸿荣源·壹城中心第九区 ,4室2厅,97.74,东南,精装,有,795,81339,非共有
益田村 ,3室1厅,78.65,南 北,精装,无,695,88367,共有
新鸿花园 ,3室1厅,104.02,东,精装,有,373,35859,非共有
宇宏健康花城 ,3室2厅,89.57,南,简装,有,600,66987,非共有
中粮一品澜山花园 ,3室2厅,80.8,东北,精装,有,248,30694,非共有
兴达华府 ,2室2厅,63.19,西南,精装,有,450,71214,非共有
万科第五园八期 ,3室1厅,77.98,东北,精装,有,495,63478,非共有
碧海名园 ,3室2厅,80.38,东北,精装,有,570,70914,共有
佳兆业上品雅园 ,3室2厅,87.37,东北,精装,有,720,82409,非共有
润恒大厦 ,1室1厅,43.48,北,简装,有,320,73598,非共有
宝能城 ,4室2厅,92.62,南,精装,有,1300,140359,非共有
先科花园 ,1室1厅,38.91,北,简装,无,283,72732,非共有
佳兆业上品雅园 ,3室1厅,86.18,北,精装,有,740,85867,非共有
振业城 ,5室2厅,201.34,南 北,毛坯,无,1088,54038,非共有
太古城北 ,4室1厅,139.39,西南,精装,有,2150,154244,非共有
半岛城邦花园二期 ,4室2厅,155,南,其他,有,1650,106452,非共有
颐安都会中央二期 ,5室2厅,143.3,东南,精装,有,1050,73273,非共有
世纪村四期 ,3室2厅,155.77,东,精装,有,1500,96296,共有
龙坤居 ,3室2厅,79.86,东南,简装,无,650,81393,非共有
德意名居一期 ,3室2厅,86.13,南,其他,有,958,111228,非共有
海丰苑大厦 ,2室1厅,52.02,南,其他,有,248,47674,非共有
雕塑家园 ,2室1厅,72.13,南,其他,有,380,52683,非共有
远洋新干线一期 ,3室1厅,86.95,北,精装,有,420,48304,非共有
蓝漪花园 ,3室2厅,99.87,西南,其他,有,1050,105137,共有
满京华喜悦里 ,3室1厅,81.26,西南,其他,有,408,50210,非共有
深圳海航城 ,3室1厅,89.53,东南,其他,有,370,41327,非共有
中骏四季阳光二期 ,3室2厅,96.5,南,其他,有,350,36270,非共有
丽景城 ,3室2厅,82.17,南,精装,有,680,82756,非共有
丰泽湖山庄 ,2室2厅,89.31,南,其他,有,565,63263,非共有
畔山翠谷居 ,6室2厅,229,南,其他,有,3300,144105,共有
创世纪滨海花园 ,2室1厅,84.75,东南,精装,有,920,108555,非共有
都市名园 ,6室2厅,267,东北,精装,有,1650,61798,非共有
中海九号公馆一期 ,6室2厅,246,东南,毛坯,有,3500,142277,非共有
光明1号 ,5室2厅,157.9,东南,毛坯,有,780,49399,非共有
碧中园 ,3室2厅,118.37,西北,简装,有,658,55589,非共有
浪琴屿花园 ,4室1厅,132.83,南,其他,有,2188,164722,非共有
博海名苑 ,3室2厅,140.85,南,其他,有,2800,198794,非共有
宝能悦澜山花园 ,5室2厅,87.85,西南,精装,有,500,56916,非共有
碧海红树园 ,3室2厅,156.87,东南 西南,精装,有,1250,79684,非共有
万科城三期 ,5室1厅,196.7,南,毛坯,无,1200,61007,非共有
深业紫麟山花园 ,4室2厅,183.48,东南,简装,有,540,29432,非共有
百仕达花园二期 ,5室3厅,262.78,南,简装,有,1600,60888,非共有
波托菲诺纯水岸一期 ,3室2厅,177.05,南,精装,有,1800,101667,非共有
聚龙居 ,5室2厅,227.44,南 北,简装,有,1600,70349,非共有
朗庭豪园 ,7室2厅,279.92,西北,简装,有,1680,60018,非共有
香山美墅·果岭 ,4室2厅,197.07,南,毛坯,有,2700,137008,非共有
波托菲诺纯水岸十六期 ,4室2厅,165.42,东南,毛坯,有,2600,157176,非共有
学府道花园 ,4室2厅,118.65,南,毛坯,有,710,59840,非共有
雅颂居 ,4室2厅,183.32,南,简装,有,2200,120009,非共有
深圳海航城 ,5室2厅,142.48,南,简装,有,600,42112,非共有
